2020-02-23 19:27:08,783 logger_config.py--> <module> 20: INFO -->xxx
2020-02-23 19:30:23,143 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 19:36:00,962 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 19:36:01,699 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页：百度一下 ,与预期相符
2020-02-23 19:37:37,343 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 19:37:37,891 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页百度一下,与预期相符
2020-02-23 19:38:40,492 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 19:38:41,214 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:百度一下,结果:True
2020-02-23 20:10:55,057 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:10:57,262 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:11:12,948 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:11:14,201 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:13:39,650 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:13:41,543 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:13:53,254 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:13:55,035 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:14:06,981 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:14:08,944 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:14:24,593 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:14:25,839 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:14:41,546 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:14:43,339 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:15:45,638 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:15:47,271 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:16:04,958 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:16:06,136 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:16:23,726 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:16:25,452 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:16:42,944 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:16:45,127 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:16:59,437 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:17:00,649 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:19:47,868 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:19:49,071 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:20:06,563 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:20:08,480 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:20:26,066 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:20:27,638 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:20:45,039 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:20:46,666 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:21:04,042 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:21:05,652 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:22:28,826 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:22:29,976 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:22:47,856 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:22:49,501 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
2020-02-23 20:23:07,403 SeleniumDriver.py--> __init__ 20: INFO -->当前打开浏览器为:chrome
2020-02-23 20:23:08,975 SeleniumDriver.py--> open_url_is_true 20: INFO -->当前网页:慕课网,结果:True
